hour_of_day,day,row,col,demand
21,0,0,6,0
21,0,0,7,0
21,0,1,1,0
21,0,1,2,3
21,0,1,3,0
21,0,1,4,0
21,0,1,6,14
21,0,1,7,0
21,0,2,0,0
21,0,2,1,0
21,0,2,4,3
21,0,2,6,5
21,0,2,7,3
21,0,3,1,0
21,0,3,2,0
21,0,3,3,11
21,0,3,4,0
21,0,3,5,0
21,0,3,6,0
21,0,4,2,0
21,0,4,4,0
21,0,4,7,0
21,0,5,2,0
21,0,5,3,0
21,0,5,6,0
21,0,5,7,0
21,0,6,0,0
21,0,6,5,5
21,0,6,6,0
21,0,6,7,0
21,0,7,6,30
22,0,0,1,0
22,0,0,2,0
22,0,0,3,3
22,0,0,4,0
22,0,0,5,0
22,0,0,6,0
22,0,1,2,0
22,0,2,0,0
22,0,2,1,0
22,0,2,2,0
22,0,2,4,0
22,0,2,5,0
22,0,3,0,0
22,0,3,1,0
22,0,3,4,0
22,0,3,5,0
22,0,3,7,0
22,0,4,0,0
22,0,4,2,0
22,0,4,3,0
22,0,4,4,0
22,0,4,5,0
22,0,4,7,0
22,0,5,0,0
22,0,5,1,0
22,0,5,4,0
22,0,5,6,0
22,0,5,7,0
22,0,6,3,0
22,0,6,4,0
22,0,6,5,0
22,0,6,7,0
22,0,7,1,0
22,0,7,2,0
22,0,7,7,0
23,0,0,2,0
23,0,0,3,0
23,0,0,4,0
23,0,0,5,0
23,0,0,6,0
23,0,0,7,0
23,0,1,0,0
23,0,1,1,0
23,0,1,2,0
23,0,1,6,0
23,0,2,0,0
23,0,2,2,0
23,0,2,4,0
23,0,2,5,0
23,0,2,6,0
23,0,3,0,0
23,0,3,4,0
23,0,4,1,0
23,0,4,2,0
23,0,4,3,0
23,0,4,4,0
23,0,4,7,0
23,0,5,1,0
23,0,5,6,0
23,0,5,7,0
23,0,6,0,0
23,0,6,1,0
23,0,6,2,0
23,0,6,4,0
23,0,6,7,0
23,0,7,0,0
23,0,7,1,0
23,0,7,4,0
23,0,7,7,0
0,1,0,0,3
0,1,0,1,0
0,1,0,3,11
0,1,0,4,3
0,1,0,6,0
0,1,0,7,0
0,1,1,1,0
0,1,1,2,3
0,1,1,3,0
0,1,1,4,0
0,1,1,5,0
0,1,2,3,3
0,1,2,4,0
0,1,2,6,0
0,1,2,7,0
0,1,3,1,0
0,1,3,2,3
0,1,3,5,5
0,1,4,0,0
0,1,4,1,0
0,1,4,4,0
0,1,4,5,3
0,1,4,6,0
0,1,4,7,0
0,1,5,2,0
0,1,5,3,0
0,1,5,5,0
0,1,5,6,17
0,1,6,0,0
0,1,6,4,0
0,1,6,5,41
0,1,7,0,0
0,1,7,2,0
0,1,7,4,0
0,1,7,6,22
1,1,0,0,30
1,1,0,1,3
1,1,0,2,14
1,1,0,5,24
1,1,1,0,5
1,1,1,6,24
1,1,1,7,27
1,1,2,0,5
1,1,2,1,0
1,1,2,3,22
1,1,2,6,33
1,1,3,0,0
1,1,3,3,24
1,1,3,4,5
1,1,3,6,14
1,1,4,0,0
1,1,4,1,0
1,1,4,6,3
1,1,5,1,22
1,1,5,2,0
1,1,5,3,3
1,1,5,5,24
1,1,5,7,11
1,1,6,0,0
1,1,6,1,0
1,1,6,5,22
1,1,6,6,0
1,1,7,0,0
1,1,7,1,0
1,1,7,3,0
1,1,7,5,3
1,1,7,7,0
2,1,0,0,5
2,1,0,1,8
2,1,0,2,79
2,1,0,3,543
2,1,0,4,570
2,1,0,6,114
2,1,0,7,169
2,1,1,1,0
2,1,1,2,218
2,1,2,0,0
2,1,2,1,0
2,1,2,4,347
2,1,2,6,172
2,1,2,7,259
2,1,3,0,0
2,1,3,1,33
2,1,3,2,169
2,1,3,3,145
2,1,3,4,96
2,1,3,5,118
2,1,3,7,191
2,1,4,0,0
2,1,4,1,3
2,1,4,2,0
2,1,4,3,44
2,1,4,4,71
2,1,4,6,14
2,1,5,0,0
2,1,5,3,33
2,1,5,6,51
2,1,5,7,44
2,1,6,0,0
2,1,6,2,0
2,1,6,3,0
2,1,6,4,77
2,1,7,0,0
2,1,7,3,5
2,1,7,4,3
3,1,0,3,642
3,1,0,4,570
3,1,0,5,363
3,1,0,6,196
3,1,1,0,0
3,1,1,2,352
3,1,1,3,415
3,1,1,4,426
3,1,1,6,101
3,1,1,7,377
3,1,2,0,0
3,1,2,1,0
3,1,2,6,210
3,1,3,0,3
3,1,3,3,177
3,1,3,4,208
3,1,3,5,254
3,1,3,6,155
3,1,4,0,0
3,1,4,1,11
3,1,4,2,0
3,1,4,3,65
3,1,4,4,147
3,1,4,5,174
3,1,4,6,58
3,1,5,0,0
3,1,5,1,3
3,1,5,3,5
3,1,5,4,11
3,1,6,0,0
3,1,6,1,0
3,1,6,2,0
3,1,6,3,3
3,1,6,4,0
3,1,6,6,147
3,1,7,0,0
3,1,7,2,0
3,1,7,3,3
3,1,7,4,0
3,1,7,5,3
3,1,7,6,3
3,1,7,7,8
4,1,0,1,0
4,1,0,3,502
4,1,0,4,188
4,1,0,5,306
4,1,0,6,208
4,1,1,0,0
4,1,1,1,0
4,1,1,6,101
4,1,1,7,150
4,1,2,2,44
4,1,2,3,246
4,1,2,4,483
4,1,2,5,263
4,1,2,6,133
4,1,3,0,0
4,1,3,1,5
4,1,3,3,77
4,1,3,4,77
4,1,3,5,164
4,1,3,6,90
4,1,3,7,55
4,1,4,0,5
4,1,4,2,3
4,1,4,3,46
4,1,4,4,44
4,1,4,5,68
4,1,4,6,137
4,1,5,0,0
4,1,5,1,0
4,1,5,2,0
4,1,5,3,0
4,1,5,4,24
4,1,5,7,17
4,1,6,3,3
4,1,6,4,3
4,1,6,6,11
4,1,6,7,3
4,1,7,2,0
4,1,7,3,17
4,1,7,7,0
5,1,0,0,14
5,1,0,1,0
5,1,0,4,65
5,1,0,6,74
5,1,1,1,0
5,1,1,5,276
5,1,1,6,60
5,1,1,7,114
5,1,2,1,0
5,1,2,2,30
5,1,2,3,194
5,1,2,6,126
5,1,3,1,19
5,1,3,2,3
5,1,3,3,85
5,1,4,0,0
5,1,4,1,33
5,1,4,2,0
5,1,4,3,11
5,1,4,4,85
5,1,4,5,44
5,1,4,6,33
5,1,5,0,0
5,1,5,1,0
5,1,5,7,65
5,1,6,0,0
5,1,6,2,0
5,1,6,3,0
5,1,6,4,11
5,1,6,5,8
5,1,6,6,0
5,1,7,2,0
5,1,7,3,0
5,1,7,4,5
5,1,7,6,3
5,1,7,7,0
6,1,0,2,90
6,1,0,4,51
6,1,0,5,259
6,1,0,6,85
6,1,0,7,213
6,1,1,0,0
6,1,1,1,5
6,1,1,2,24
6,1,1,4,96
6,1,2,0,0
6,1,2,2,17
6,1,2,5,123
6,1,2,6,159
6,1,3,1,5
6,1,3,2,11
6,1,3,3,90
6,1,3,5,38
6,1,3,6,101
6,1,3,7,186
6,1,4,0,0
6,1,4,4,82
6,1,4,5,44
6,1,5,0,0
6,1,5,1,0
6,1,5,3,8
6,1,5,5,17
6,1,6,0,0
6,1,6,2,0
6,1,6,3,0
6,1,6,6,22
6,1,6,7,181
6,1,7,1,0
6,1,7,2,0
6,1,7,3,3
6,1,7,5,14
6,1,7,6,41
6,1,7,7,5
7,1,0,0,14
7,1,0,1,14
7,1,0,2,24
7,1,0,3,164
7,1,0,4,104
7,1,0,5,92
7,1,0,6,99
7,1,0,7,101
7,1,1,0,0
7,1,1,3,109
7,1,1,5,58
7,1,2,0,0
7,1,2,1,0
7,1,2,2,55
7,1,2,3,58
7,1,2,4,55
7,1,2,5,99
7,1,2,6,147
7,1,2,7,131
7,1,3,0,0
7,1,3,1,19
7,1,3,2,24
7,1,3,4,33
7,1,4,0,0
7,1,4,3,181
7,1,4,4,44
7,1,4,5,60
7,1,4,6,44
7,1,6,0,0
7,1,6,1,0
7,1,6,2,0
7,1,6,3,147
7,1,6,5,22
7,1,6,6,3
7,1,6,7,46
7,1,7,1,0
7,1,7,2,0
7,1,7,3,5
7,1,7,5,8
7,1,7,7,0
8,1,0,1,8
8,1,0,3,60
8,1,0,4,104
8,1,0,5,150
8,1,0,6,164
8,1,0,7,118
8,1,1,0,0
8,1,1,1,3
8,1,1,3,96
8,1,1,4,14
8,1,1,5,153
8,1,1,6,249
8,1,2,2,44
8,1,2,5,101
8,1,2,6,150
8,1,3,0,0
8,1,3,1,3
8,1,3,2,5
8,1,3,3,44
8,1,3,6,49
8,1,3,7,90
8,1,4,2,0
8,1,4,3,17
8,1,4,4,19
8,1,4,5,87
8,1,4,7,51
8,1,5,0,0
8,1,5,3,0
8,1,5,5,51
8,1,5,6,46
8,1,5,7,5
8,1,6,0,0
8,1,6,3,3
8,1,6,4,5
8,1,6,5,104
8,1,7,0,0
8,1,7,1,0
8,1,7,3,11
8,1,7,5,11
8,1,7,6,3
8,1,7,7,3
9,1,0,1,19
9,1,0,2,68
9,1,0,5,191
9,1,1,0,0
9,1,1,1,14
9,1,1,2,46
9,1,1,3,60
9,1,1,4,19
9,1,1,5,218
9,1,1,6,213
9,1,1,7,114
9,1,2,2,17
9,1,2,5,213
9,1,2,6,200
9,1,3,1,0
9,1,3,4,55
9,1,3,5,213
9,1,4,0,0
9,1,4,1,17
9,1,4,2,0
9,1,4,3,27
9,1,4,4,24
9,1,5,1,5
9,1,5,2,3
9,1,5,4,19
9,1,5,5,126
9,1,6,0,0
9,1,6,1,0
9,1,6,5,22
9,1,6,6,0
9,1,7,0,0
9,1,7,1,0
9,1,7,4,11
9,1,7,5,24
9,1,7,6,3
9,1,7,7,5
10,1,0,0,3
10,1,0,1,19
10,1,0,2,14
10,1,0,3,41
10,1,0,5,213
10,1,0,6,273
10,1,1,2,36
10,1,1,3,79
10,1,1,4,55
10,1,1,5,276
10,1,1,6,546
10,1,2,0,0
10,1,2,1,11
10,1,2,2,22
10,1,2,6,660
10,1,3,1,5
10,1,3,2,11
10,1,3,3,49
10,1,3,6,454
10,1,4,2,3
10,1,4,5,87
10,1,5,1,0
10,1,5,2,5
10,1,5,3,8
10,1,5,6,194
10,1,6,0,0
10,1,6,1,0
10,1,6,2,0
10,1,6,3,0
10,1,6,4,0
10,1,6,5,14
10,1,6,7,5
10,1,7,2,0
10,1,7,4,14
10,1,7,7,3
11,1,0,0,3
11,1,0,2,68
11,1,0,3,85
11,1,0,6,565
11,1,0,7,161
11,1,1,0,5
11,1,1,1,5
11,1,1,3,55
11,1,1,4,150
11,1,1,5,522
11,1,1,6,865
11,1,2,1,3
11,1,2,2,27
11,1,2,3,87
11,1,2,4,74
11,1,2,5,434
11,1,2,6,1491
11,1,2,7,140
11,1,3,0,3
11,1,3,1,0
11,1,3,6,974
11,1,4,2,8
11,1,4,3,77
11,1,4,5,276
11,1,4,6,440
11,1,4,7,33
11,1,5,0,0
11,1,5,1,3
11,1,5,3,0
11,1,5,5,104
11,1,5,6,360
11,1,6,1,0
11,1,6,2,0
11,1,6,4,17
11,1,6,5,164
11,1,7,0,0
11,1,7,1,0
11,1,7,2,0
11,1,7,3,5
11,1,7,4,0
11,1,7,5,33
11,1,7,6,74
12,1,0,1,17
12,1,0,2,30
12,1,0,3,140
12,1,0,4,270
12,1,0,5,642
12,1,0,6,1201
12,1,1,0,0
12,1,1,1,0
12,1,1,3,112
12,1,1,4,51
12,1,1,7,311
12,1,2,0,0
12,1,2,1,5
12,1,2,2,58
12,1,2,5,418
12,1,2,6,1838
12,1,3,6,865
12,1,3,7,71
12,1,4,0,14
12,1,4,2,0
12,1,4,3,24
12,1,4,4,41
12,1,4,5,292
12,1,4,7,22
12,1,5,0,0
12,1,5,1,0
12,1,5,2,5
12,1,5,3,0
12,1,5,4,22
12,1,5,5,194
12,1,5,6,374
12,1,6,1,0
12,1,6,2,14
12,1,6,5,17
12,1,6,6,68
12,1,7,0,0
12,1,7,1,0
12,1,7,3,0
12,1,7,6,79
13,1,0,3,104
13,1,0,7,393
13,1,1,0,0
13,1,1,1,14
13,1,1,2,38
13,1,1,6,1712
13,1,1,7,557
13,1,2,0,3
13,1,2,3,123
13,1,2,4,63
13,1,2,5,959
13,1,2,7,306
13,1,3,1,5
13,1,3,3,41
13,1,3,4,145
13,1,3,5,604
13,1,4,0,0
13,1,4,1,24
13,1,4,2,0
13,1,4,3,46
13,1,4,4,24
13,1,4,5,268
13,1,4,6,579
13,1,4,7,60
13,1,5,1,0
13,1,5,2,3
13,1,5,4,33
13,1,6,5,36
13,1,7,0,0
13,1,7,6,85
14,1,0,0,11
14,1,0,1,11
14,1,0,5,120
14,1,0,6,401
14,1,0,7,333
14,1,1,0,0
14,1,1,1,5
14,1,1,2,24
14,1,1,3,38
14,1,1,4,65
14,1,1,5,145
14,1,1,6,734
14,1,2,0,0
14,1,2,2,27
14,1,2,4,22
14,1,2,5,150
14,1,2,6,454
14,1,3,0,3
14,1,3,2,3
14,1,3,6,265
14,1,4,0,0
14,1,4,1,8
14,1,4,2,5
14,1,4,3,11
14,1,4,5,77
14,1,4,6,249
14,1,4,7,17
14,1,5,1,3
14,1,5,3,3
14,1,5,4,14
14,1,5,6,71
14,1,5,7,19
14,1,6,0,0
14,1,6,1,0
14,1,6,2,0
14,1,6,3,5
14,1,6,5,11
14,1,6,6,5
14,1,6,7,8
14,1,7,1,0
14,1,7,2,0
14,1,7,5,11
14,1,7,6,5
15,1,0,0,3
15,1,0,4,44
15,1,0,5,126
15,1,0,6,177
15,1,1,0,0
15,1,1,1,3
15,1,1,2,14
15,1,1,3,36
15,1,1,5,71
15,1,1,6,131
15,1,2,3,106
15,1,2,5,71
15,1,2,7,51
15,1,3,0,0
15,1,3,2,11
15,1,3,4,46
15,1,3,7,22
15,1,4,3,51
15,1,4,4,36
15,1,4,7,8
15,1,5,2,5
15,1,5,4,8
15,1,5,5,46
15,1,5,7,22
15,1,6,0,0
15,1,6,1,0
15,1,6,3,5
15,1,6,4,8
15,1,6,6,5
15,1,6,7,8
15,1,7,1,0
15,1,7,4,5
15,1,7,6,11
15,1,7,7,11
16,1,0,1,5
16,1,0,2,22
16,1,0,5,44
16,1,0,6,49
16,1,1,0,0
16,1,1,1,19
16,1,1,2,19
16,1,1,5,22
16,1,1,6,46
16,1,1,7,22
16,1,2,0,0
16,1,2,1,0
16,1,2,4,30
16,1,2,5,33
16,1,2,6,55
16,1,3,2,11
16,1,3,3,8
16,1,3,4,0
16,1,3,5,82
16,1,3,6,49
16,1,3,7,30
16,1,4,2,0
16,1,4,3,24
16,1,4,6,36
16,1,5,0,0
16,1,5,1,0
16,1,5,4,8
16,1,6,0,0
16,1,6,1,0
16,1,6,2,0
16,1,6,6,0
16,1,6,7,3
16,1,7,0,0
16,1,7,3,0
16,1,7,6,0
16,1,7,7,5
17,1,0,0,11
17,1,0,2,23
17,1,0,4,6
17,1,0,5,25
17,1,0,6,25
17,1,0,7,43
17,1,1,1,3
17,1,1,2,14
17,1,1,3,14
17,1,2,0,0
17,1,2,2,14
17,1,2,4,14
17,1,2,5,11
17,1,2,6,34
17,1,2,7,14
17,1,3,0,0
17,1,3,3,32
17,1,3,4,25
17,1,3,6,40
17,1,4,1,9
17,1,4,2,0
17,1,4,5,32
17,1,4,7,9
17,1,5,0,0
17,1,5,4,18
17,1,5,5,18
17,1,5,6,6
17,1,5,7,6
17,1,6,0,0
17,1,6,1,3
17,1,6,2,0
17,1,6,4,3
17,1,6,5,11
17,1,6,6,0
17,1,7,0,0
17,1,7,1,0
17,1,7,2,0
17,1,7,5,0
17,1,7,6,3
17,1,7,7,3
18,1,0,0,3
18,1,0,1,0
18,1,0,2,9
18,1,0,3,20
18,1,0,5,18
18,1,0,7,9
18,1,1,0,0
18,1,1,1,0
18,1,1,3,34
18,1,1,4,3
18,1,1,6,3
18,1,1,7,20
18,1,2,2,9
18,1,2,3,9
18,1,2,5,14
18,1,2,6,20
18,1,3,0,6
18,1,3,2,3
18,1,3,3,23
18,1,3,4,32
18,1,3,6,40
18,1,3,7,11
18,1,4,0,0
18,1,4,4,40
18,1,4,6,23
18,1,4,7,6
18,1,5,2,3
18,1,5,5,14
18,1,5,7,6
18,1,6,4,9
18,1,6,5,14
18,1,6,6,11
18,1,7,3,0
18,1,7,4,0
18,1,7,5,3
18,1,7,7,0
19,1,0,3,0
19,1,0,4,6
19,1,0,5,9
19,1,0,6,11
19,1,1,0,0
19,1,1,4,3
19,1,1,5,14
19,1,1,6,3
19,1,2,0,0
19,1,2,6,23
19,1,2,7,20
19,1,3,1,0
19,1,3,2,0
19,1,4,3,49
19,1,4,7,9
19,1,5,0,0
19,1,5,4,0
19,1,5,6,0
19,1,5,7,0
19,1,6,1,0
19,1,6,3,3
19,1,6,4,0
19,1,6,5,14
19,1,6,6,0
19,1,7,0,0
19,1,7,4,0
19,1,7,7,0
20,1,0,0,0
20,1,0,3,0
20,1,0,5,3
20,1,1,0,0
20,1,1,1,0
20,1,1,2,6
20,1,1,3,9
20,1,1,4,3
20,1,1,6,3
20,1,1,7,3
20,1,2,1,0
20,1,2,3,9
20,1,2,6,0
20,1,2,7,6
20,1,3,1,0
20,1,3,2,3
20,1,3,4,3
20,1,3,7,0
20,1,4,1,0
20,1,4,3,37
20,1,4,4,6
20,1,4,5,6
20,1,4,6,0
20,1,4,7,0
20,1,5,0,0
20,1,5,1,0
20,1,5,3,0
20,1,5,5,0
20,1,5,6,0
20,1,6,1,0
20,1,6,2,0
20,1,6,3,0
20,1,6,4,0
20,1,6,6,3
20,1,6,7,3
20,1,7,1,0
20,1,7,3,0
20,1,7,4,0
20,1,7,5,3
20,1,7,7,0
21,1,0,2,9
21,1,0,3,0
21,1,0,6,9
21,1,0,7,0
21,1,1,0,0
21,1,1,1,0
21,1,1,3,3
21,1,1,5,6
21,1,2,1,0
21,1,2,3,0
21,1,2,5,0
21,1,2,6,3
21,1,2,7,6
21,1,3,0,20
21,1,3,1,3
21,1,3,2,0
21,1,3,4,3
21,1,3,5,0
21,1,3,6,0
21,1,3,7,0
21,1,4,1,3
21,1,4,2,0
21,1,4,3,14
21,1,4,5,0
21,1,4,6,0
21,1,5,1,0
21,1,5,2,6
21,1,5,3,0
21,1,5,5,0
21,1,6,0,0
21,1,6,4,0
21,1,6,5,0
21,1,7,0,0
21,1,7,2,0
21,1,7,4,3
21,1,7,5,0
21,1,7,6,0
22,1,0,0,0
22,1,0,1,0
22,1,0,2,0
22,1,0,5,0
22,1,0,6,0
22,1,0,7,9
22,1,1,1,0
22,1,1,2,0
22,1,1,6,0
22,1,2,2,3
22,1,2,3,0
22,1,2,6,0
22,1,3,1,37
22,1,3,2,9
22,1,3,5,0
22,1,4,2,20
22,1,4,3,37
22,1,4,5,0
22,1,4,6,0
22,1,4,7,9
22,1,5,0,0
22,1,5,3,0
22,1,5,4,9
22,1,5,5,0
22,1,5,6,0
22,1,6,0,0
22,1,6,1,0
22,1,6,3,0
22,1,6,4,0
22,1,6,5,3
22,1,6,6,0
22,1,6,7,0
22,1,7,0,0
22,1,7,1,0
22,1,7,3,0
22,1,7,6,0
23,1,0,1,0
23,1,0,3,0
23,1,0,7,3
23,1,1,3,3
23,1,1,5,0
23,1,1,6,3
23,1,2,1,0
23,1,2,3,6
23,1,2,4,9
23,1,2,5,0
23,1,2,7,3
23,1,3,0,0
23,1,3,3,11
23,1,3,4,3
23,1,4,0,0
23,1,4,1,0
23,1,4,2,0
23,1,4,5,3
23,1,5,2,0
23,1,5,3,0
23,1,5,4,0
23,1,5,5,0
23,1,5,6,0
23,1,6,0,0
23,1,6,1,0
23,1,6,3,0
23,1,6,5,0
23,1,7,0,0
23,1,7,1,0
23,1,7,3,0
23,1,7,4,0
23,1,7,5,0
23,1,7,6,0
0,2,0,1,0
0,2,0,2,0
0,2,0,3,0
0,2,0,5,3
0,2,0,6,0
0,2,1,0,0
0,2,1,4,0
0,2,1,7,0
0,2,2,1,0
0,2,2,3,0
0,2,2,4,6
0,2,2,5,6
0,2,2,6,3
0,2,3,0,3
0,2,3,1,6
0,2,3,2,0
0,2,3,3,9
0,2,3,6,6
0,2,3,7,0
0,2,4,0,0
0,2,4,2,0
0,2,4,4,9
0,2,4,5,0
0,2,4,7,3
0,2,5,0,0
0,2,5,1,0
0,2,5,3,0
0,2,5,6,0
0,2,6,1,0
0,2,6,3,0
0,2,6,4,3
0,2,6,5,0
0,2,6,6,0
0,2,6,7,0
0,2,7,5,0
0,2,7,6,3
1,2,0,0,6
1,2,0,1,3
1,2,0,2,29
1,2,0,5,20
1,2,0,7,49
1,2,1,0,25
1,2,1,5,115
1,2,1,7,109
1,2,2,1,6
1,2,2,2,49
1,2,2,6,32
1,2,2,7,18
1,2,3,1,9
1,2,3,4,9
1,2,3,5,86
1,2,3,6,40
1,2,4,0,0
1,2,4,1,9
1,2,4,2,0
1,2,4,3,0
1,2,4,6,3
1,2,5,2,0
1,2,5,3,3
1,2,5,5,18
1,2,5,6,14
1,2,6,0,0
1,2,6,5,9
1,2,6,6,0
1,2,7,0,0
1,2,7,1,0
1,2,7,2,0
1,2,7,6,29
2,2,0,0,37
2,2,0,1,14
2,2,0,2,147
2,2,0,4,278
2,2,0,5,143
2,2,1,0,0
2,2,1,2,97
2,2,1,4,301
2,2,1,7,579
2,2,2,0,3
2,2,2,1,0
2,2,2,3,444
2,2,2,4,326
2,2,2,5,639
2,2,2,6,221
2,2,2,7,218
2,2,3,1,52
2,2,3,2,89
2,2,3,6,123
2,2,3,7,100
2,2,4,0,0
2,2,4,1,80
2,2,4,2,0
2,2,4,4,298
2,2,5,0,0
2,2,5,1,0
2,2,5,4,49
2,2,5,5,25
2,2,5,7,158
2,2,6,1,0
2,2,6,3,0
2,2,6,6,0
2,2,6,7,32
2,2,7,1,0
2,2,7,4,83
2,2,7,7,46
3,2,0,0,23
3,2,0,3,387
3,2,0,4,421
3,2,0,5,229
3,2,0,7,444
3,2,1,0,32
3,2,1,4,249
3,2,1,7,923
3,2,2,0,0
3,2,2,4,674
3,2,3,0,0
3,2,3,3,181
3,2,3,5,269
3,2,3,7,149
3,2,4,0,3
3,2,4,1,18
3,2,4,3,46
3,2,5,3,14
3,2,5,4,218
3,2,5,5,169
3,2,5,6,6
3,2,5,7,115
3,2,6,0,0
3,2,6,1,0
3,2,6,2,0
3,2,6,3,3
3,2,6,4,49
3,2,6,7,120
3,2,7,0,0
3,2,7,1,0
3,2,7,2,0
3,2,7,5,6
3,2,7,6,34
4,2,0,0,23
4,2,0,1,9
4,2,0,2,77
4,2,0,3,221
4,2,0,4,181
4,2,0,5,593
4,2,0,6,267
4,2,1,0,0
4,2,1,2,80
4,2,1,3,326
4,2,1,4,135
4,2,1,5,708
4,2,1,6,433
4,2,2,1,9
4,2,2,2,319
4,2,2,4,435
4,2,2,6,441
4,2,2,7,226
4,2,3,1,23
4,2,3,2,3
4,2,3,5,158
4,2,3,6,221
4,2,3,7,221
4,2,4,0,3
4,2,4,1,6
4,2,4,2,9
4,2,4,3,52
4,2,4,6,54
4,2,5,1,0
4,2,5,3,11
4,2,5,4,32
4,2,5,5,195
4,2,5,7,75
4,2,6,0,0
4,2,6,2,0
4,2,6,3,34
4,2,6,7,9
4,2,7,1,0
4,2,7,3,0
4,2,7,5,0
4,2,7,6,0
4,2,7,7,9
5,2,0,0,11
5,2,0,1,9
5,2,0,2,57
5,2,0,3,195
5,2,0,7,424
5,2,1,0,11
5,2,1,1,52
5,2,1,2,52
5,2,1,3,252
5,2,2,0,0
5,2,2,2,37
5,2,2,3,315
5,2,2,5,178
5,2,3,0,0
5,2,3,1,3
5,2,3,2,6
5,2,3,5,140
5,2,3,7,226
5,2,4,1,11
5,2,4,4,75
5,2,4,7,161
5,2,5,4,9
5,2,5,5,118
5,2,5,6,72
5,2,5,7,49
5,2,6,2,0
5,2,6,4,18
5,2,6,6,3
5,2,7,0,0
5,2,7,1,0
5,2,7,3,0
5,2,7,4,0
5,2,7,6,11
6,2,0,0,6
6,2,0,1,9
6,2,0,2,138
6,2,0,3,178
6,2,0,4,212
6,2,0,6,163
6,2,0,7,238
6,2,1,6,233
6,2,1,7,263
6,2,2,0,0
6,2,2,2,97
6,2,2,5,172
6,2,2,6,161
6,2,2,7,298
6,2,3,0,0
6,2,3,1,6
6,2,3,2,11
6,2,3,4,23
6,2,3,5,61
6,2,3,6,72
6,2,4,2,0
6,2,4,5,169
6,2,4,7,34
6,2,5,1,0
6,2,5,3,11
6,2,5,6,32
6,2,6,0,0
6,2,6,1,0
6,2,6,2,9
6,2,6,3,9
6,2,6,4,3
6,2,6,5,6
6,2,6,6,57
6,2,6,7,106
6,2,7,0,0
6,2,7,1,0
6,2,7,2,0
6,2,7,3,0
6,2,7,4,11
6,2,7,5,3
7,2,0,0,3
7,2,0,1,18
7,2,0,4,154
7,2,0,7,95
7,2,1,0,0
