time,row,col,demand
6,3,4,0
136,2,3,42
353,5,1,10
269,2,4,5
73,6,1,0
6,0,3,0
34,7,1,0
323,6,7,16
341,3,3,54
64,3,2,0
551,6,4,25
510,6,1,0
35,4,1,6
101,3,5,6
15,5,3,0
713,0,5,22
523,7,7,9
260,5,2,22
461,6,7,8
289,6,2,0
253,5,5,27
102,5,0,0
64,3,5,455
18,2,1,3
624,2,6,194
655,1,1,0
684,5,1,0
679,4,7,0
27,0,5,3
430,1,2,70
479,5,6,180
96,1,6,29
153,1,4,55
526,2,1,0
92,0,7,123
259,7,0,0
29,3,4,0
116,2,7,40
562,2,2,0
338,7,1,0
590,7,1,0
331,4,1,20
333,6,6,6
486,5,7,36
512,7,0,0
3,1,6,0
563,2,6,0
437,4,3,78
428,6,1,0
356,7,5,0
185,5,5,24
289,7,5,9
214,2,1,0
675,4,2,12
94,7,1,0
208,6,7,8
411,4,0,7
665,4,2,0
231,3,7,21
63,0,4,117
610,5,4,18
311,3,5,402
473,5,3,0
629,5,7,127
397,2,3,160
391,2,6,18
86,1,6,810
67,2,1,51
200,2,3,0
471,6,3,56
520,7,1,0
731,5,4,118
723,2,4,250
537,3,7,0
252,6,1,0
629,0,2,60
302,0,2,107
615,2,4,64
215,6,4,16
8,5,1,22
38,4,7,92
610,4,2,0
557,6,1,16
696,7,7,13
363,1,0,0
237,5,0,0
125,4,4,0
102,3,0,0
628,7,0,0
730,7,7,23
706,1,7,156
123,0,2,31
190,5,3,15
193,1,7,40
499,7,0,0
421,4,1,7
611,7,7,0
410,3,7,51
23,5,1,0
144,2,4,25
328,3,3,103
85,1,6,249
410,4,7,94
633,1,5,0
471,2,3,324
370,2,2,0
334,1,7,139
122,3,7,7
36,3,7,226
168,0,1,7
498,2,6,173
653,6,7,39
84,1,4,117
577,4,2,0
387,1,3,156
246,4,5,0
327,3,7,145
720,2,4,272
503,4,6,588
16,2,2,17
211,5,4,16
564,2,2,58
310,3,3,83
424,4,4,31
709,3,0,0
470,7,6,0
87,3,3,57
50,7,5,3
21,4,5,77
364,4,1,22
532,4,7,95
418,0,1,0
339,6,2,0
225,1,7,5
317,1,0,0
46,2,6,247
446,6,2,8
261,3,2,9
71,3,3,15
467,5,6,0
393,4,6,0
88,3,3,38
198,0,4,0
591,6,1,0
93,3,6,123
138,0,1,13
487,6,7,28
72,1,5,41
82,0,7,154
161,4,4,37
648,4,0,12
135,0,7,146
395,6,7,11
627,2,0,0
304,0,7,64
605,0,4,82
667,3,2,12
153,7,4,7
105,2,6,20
576,4,2,0
430,7,7,24
175,6,3,0
481,0,5,153
645,2,0,0
260,2,2,62
566,3,5,84
420,2,0,0
334,5,3,0
109,1,5,37
654,3,7,51
410,1,4,82
444,0,0,0
586,5,1,0
316,2,3,61
513,5,7,0
646,1,4,37
218,2,0,5
570,4,7,26
605,1,2,46
562,0,2,0
181,4,0,0
262,4,4,58
548,5,7,209
309,4,7,43
715,4,2,0
432,0,4,111
51,6,0,0
240,1,5,17
457,7,2,0
16,0,3,155
483,0,2,22
577,3,4,142
397,0,5,119
183,7,1,0
385,7,0,0
417,5,3,0
674,2,3,247
296,4,7,0
384,0,2,41
101,3,4,10
375,2,2,92
667,3,4,243
96,3,0,0
530,2,6,350
267,5,6,65
71,4,1,6
506,4,0,0
523,7,0,0
234,4,1,8
516,1,6,15
25,7,4,0
692,3,2,0
584,6,5,0
49,7,6,3
197,5,3,0
603,7,3,11
362,4,3,103
715,7,2,0
312,4,4,67
177,7,6,15
706,3,5,212
10,1,7,377
223,3,2,0
342,6,6,6
488,5,7,0
443,6,0,0
407,7,4,11
238,3,5,55
580,5,6,27
367,7,2,0
551,2,3,89
627,6,1,0
374,0,5,131
185,7,4,0
369,2,2,0
333,2,2,20
226,5,0,0
659,4,6,31
278,7,3,0
147,2,1,0
250,4,7,31
178,4,0,0
388,2,1,0
411,4,6,118
673,1,1,0
158,7,2,0
477,0,3,96
462,7,1,0
591,7,5,17
654,6,6,0
496,7,3,0
597,6,3,10
466,7,1,0
223,4,0,0
426,5,1,7
83,7,0,0
370,0,5,0
402,4,1,41
201,5,7,8
288,7,4,0
405,6,6,7
160,7,5,11
525,5,5,167
225,0,1,59
106,6,3,0
23,1,5,22
202,6,0,0
315,3,6,113
711,4,6,0
48,1,6,19
725,0,0,95
263,3,6,67
512,4,6,9
728,1,6,1675
302,2,2,15
611,4,7,0
39,5,3,138
700,2,0,0
131,7,1,0
585,2,5,0
470,2,6,61
223,3,3,0
493,2,6,86
167,7,1,0
176,6,6,0
93,6,5,26
258,3,6,80
406,1,3,156
624,6,1,0
505,5,2,0
694,7,5,21
528,4,2,0
615,0,5,28
438,5,6,0
516,5,1,0
60,0,2,81
499,0,3,100
389,7,2,0
273,4,7,5
169,6,7,0
211,5,1,0
566,7,4,0
221,0,4,8
15,6,4,5
727,1,6,2346
573,5,4,16
652,1,0,0
681,0,7,0
411,3,1,0
494,3,4,72
172,7,0,0
364,0,3,22
229,1,6,5
642,1,7,49
160,2,1,4
606,4,2,0
9,0,6,114
304,2,1,0
403,0,5,119
163,3,2,4
579,0,2,71
602,4,2,28
271,0,2,0
358,6,3,21
146,0,4,4
121,1,5,59
368,6,5,0
342,0,1,0
396,3,7,0
386,4,4,101
676,3,4,74
655,2,6,12
413,5,7,12
104,7,1,0
648,7,6,39
435,2,1,8
571,1,4,52
715,7,3,0
114,7,1,4
174,7,2,0
160,0,0,14
427,7,3,0
516,6,1,0
227,3,5,16
158,7,1,0
527,0,6,471
336,7,3,17
388,7,5,0
178,5,1,0
227,5,5,0
55,4,5,3
276,3,4,5
16,0,0,14
507,2,0,0
726,5,6,554
646,4,4,213
200,2,6,0
242,2,1,5
215,1,5,154
38,0,7,95
634,0,5,19
329,7,5,0
75,3,0,0
222,5,2,0
563,5,3,0
340,3,2,21
380,0,2,57
205,4,6,8
621,5,2,0
66,1,1,3
368,0,1,0
87,3,7,67
552,3,3,184
454,3,7,58
664,4,0,12
730,5,3,36
701,4,6,1370
209,0,5,61
97,1,3,73
603,0,7,128
469,5,5,82
596,2,1,10
409,6,7,19
237,3,7,29
491,4,4,28
221,7,5,5
637,0,0,0
470,6,6,8
144,4,3,44
198,0,2,0
318,7,2,0
237,4,5,68
173,6,6,0
398,4,0,0
5,5,0,0
283,1,3,32
434,2,0,8
435,7,7,8
143,5,7,31
686,5,4,0
685,7,1,0
311,6,3,6
593,5,1,34
588,3,5,71
11,6,7,3
41,4,4,158
542,3,0,15
654,5,2,0
200,3,5,0
531,3,0,0
150,5,2,0
269,5,5,18
4,4,7,0
412,4,1,24
455,6,7,13
29,2,6,0
638,1,4,11
50,4,6,9
616,6,5,11
291,7,3,0
708,5,7,22
372,0,4,28
7,6,5,41
659,3,4,0
285,1,2,41
132,4,6,87
661,0,7,82
633,7,3,0
336,1,4,206
500,1,6,217
360,5,5,50
530,1,2,49
547,3,2,31
519,5,3,0
2,3,5,5
391,6,5,0
463,7,5,0
70,7,3,0
723,6,5,59
486,1,1,8
192,3,2,5
214,7,5,5
264,4,5,52
146,2,6,18
432,6,5,73
423,6,4,7
318,1,7,20
454,4,0,13
481,2,3,59
308,6,6,0
329,5,0,0
285,2,6,32
173,3,0,0
485,0,1,8
209,1,6,85
511,1,0,0
177,5,4,0
485,0,4,14
636,3,2,0
109,5,6,6
557,0,2,26
598,5,3,17
331,7,4,20
564,2,5,52
227,3,6,0
15,4,5,87
52,3,2,0
233,0,7,21
603,2,1,0
96,4,5,54
462,3,3,27
114,7,7,6
326,6,7,10
78,4,3,19
580,2,2,105
642,5,2,0
531,7,5,15
54,1,2,0
490,4,5,14
62,6,4,6
92,3,4,69
217,7,3,0
40,5,6,252
563,1,3,10
56,3,0,3
226,7,2,0
11,5,4,24
47,5,4,11
578,2,3,166
565,3,3,100
393,5,1,0
199,1,0,0
159,2,3,114
588,2,2,0
463,1,6,13
600,3,6,267
161,3,0,7
97,3,2,10
547,1,1,0
441,3,1,0
191,6,4,7
657,7,6,82
160,2,2,293
65,7,2,0
23,2,2,11
354,7,6,10
324,5,5,32
580,0,5,27
711,0,6,0
337,6,3,6
115,4,4,33
131,4,7,261
433,3,5,480
13,6,7,181
390,2,7,18
715,2,1,0
8,4,1,0
220,6,7,16
706,6,4,35
85,3,6,474
258,4,5,50
196,1,2,12
478,3,1,21
612,1,7,18
133,0,5,163
378,7,2,0
620,7,3,0
2,5,4,0
516,6,4,0
34,6,0,0
310,7,0,0
541,2,3,71
371,1,5,0
32,2,2,49
65,2,5,482
40,6,3,0
256,2,0,0
511,4,4,0
524,5,7,91
496,1,5,318
87,2,0,0
574,1,3,177
14,2,4,55
550,3,1,9
139,0,5,348
366,1,6,28
37,0,3,178
29,6,3,0
446,4,0,0
229,0,4,8
57,4,5,262
477,0,2,69
144,3,7,30
456,6,7,69
572,6,7,42
122,1,0,0
239,0,2,37
34,5,4,218
178,2,7,0
49,0,5,21
110,5,4,10
161,0,6,439
637,3,0,0
213,3,5,371
389,7,6,11
110,1,3,43
476,4,0,0
418,1,5,7
440,4,1,8
179,5,7,15
674,5,6,107
260,3,3,58
163,3,1,4
253,2,3,22
567,7,7,16
190,7,2,0
634,6,7,0
481,0,6,226
637,1,3,19
4,0,7,0
409,0,6,770
383,6,1,11
170,2,3,0
273,0,4,0
234,7,4,13
542,6,1,0
363,3,6,210
67,0,5,816
310,7,1,0
102,4,4,0
317,6,1,6
223,1,0,0
563,7,4,0
57,3,2,85
361,7,3,0
188,5,4,15
595,2,3,115
695,3,0,0
272,2,3,5
562,1,4,0
430,7,1,0
392,6,0,0
696,5,1,0
461,0,5,27
415,2,7,19
644,4,0,0
483,1,5,86
75,6,4,0
461,7,2,0
2,2,7,0
693,3,5,214
242,2,4,39
37,3,0,0
674,2,0,0
500,5,7,181
469,1,4,77
176,3,3,84
520,4,5,67
694,0,0,21
318,2,6,26
227,2,1,0
3,1,2,5
496,1,1,8
689,4,6,0
474,3,1,21
78,3,7,0
582,0,3,0
47,6,7,3
90,5,1,0
657,5,6,0
17,5,1,0
651,0,2,71
208,2,1,0
461,7,4,0
97,3,6,33
411,5,5,7
599,1,5,159
336,2,2,48
703,3,4,212
593,1,3,186
60,2,7,196
206,3,5,33
0,2,7,3
252,5,1,0
416,6,0,0
142,7,3,0
724,4,0,0
619,5,1,0
40,1,6,650
402,4,2,0
548,6,7,25
289,3,6,58
122,0,5,4
259,7,4,27
285,2,0,18
294,2,0,0
329,0,0,0
555,7,2,0
211,1,0,0
280,1,6,29
699,7,6,43
522,6,0,0
168,7,6,0
485,7,0,0
29,7,3,0
392,1,6,18
181,4,2,0
20,2,5,959
191,4,6,27
593,2,2,105
443,3,2,0
453,1,5,45
135,4,7,70
347,3,6,0
132,4,7,146
69,1,3,79
115,7,4,40
106,6,0,0
630,5,4,49
645,6,1,0
402,1,0,7
484,7,3,8
495,2,0,0
611,6,2,0
611,7,1,0
365,1,6,7
359,5,6,195
552,1,2,68
470,7,3,8
607,7,3,0
319,3,5,26
615,0,6,28
15,4,2,0
172,4,2,0
556,4,5,68
16,4,0,0
584,2,2,0
638,3,4,37
26,7,2,0
261,6,2,50
229,2,3,26
13,5,5,17
293,2,2,25
138,6,6,63
593,1,6,132
655,1,2,12
305,2,4,79
34,4,3,46
629,7,7,0
667,2,3,408
308,0,4,89
488,5,0,0
248,3,2,0
130,7,3,0
46,7,2,0
657,3,6,0
350,3,6,87
684,7,3,0
260,0,7,36
1,4,2,5
651,1,7,71
594,5,7,105
680,6,2,0
514,6,2,0
187,3,2,0
11,3,6,90
642,3,1,0
327,1,7,190
92,1,0,0
40,3,7,138
525,2,3,99
94,3,2,10
657,5,1,0
515,7,2,0
684,3,6,33
640,2,4,86
28,4,7,0
69,5,2,0
123,3,5,21
436,1,3,91
14,4,5,60
285,3,6,52
572,6,4,16
390,6,1,0
556,7,3,52
6,1,5,0
296,0,4,0
41,0,2,106
595,1,0,0
552,5,4,32
202,3,4,12
422,4,5,39
612,1,6,46
191,4,3,34
709,0,2,13
615,2,1,0
370,5,5,0
469,3,7,34
57,3,1,15
316,2,4,16
297,0,1,0
650,4,1,31
328,1,4,51
522,2,2,99
214,5,5,105
24,0,5,25
39,5,7,419
358,1,7,146
355,5,0,0
241,7,2,0
152,4,2,0
365,4,6,11
672,3,5,683
148,6,3,0
514,0,0,0
587,1,3,0
12,5,1,0
242,2,5,14
412,2,3,39
345,0,3,0
588,5,2,0
358,4,5,216
268,2,1,0
423,5,4,55
125,5,2,0
379,3,0,0
95,3,2,28
628,3,6,127
167,6,1,0
654,5,5,20
19,5,7,11
71,2,1,0
603,6,7,0
671,7,2,0
356,6,3,0
29,6,4,0
441,4,1,0
81,1,7,136
707,1,4,56
38,4,6,68
57,7,4,3
475,1,6,199
431,7,6,19
545,3,2,40
354,0,6,141
147,1,7,0
243,2,0,0
616,1,5,75
385,1,7,96
658,4,5,0
554,5,3,10
647,3,1,11
399,1,0,7
581,4,4,115
244,6,2,0
21,4,6,249
552,1,7,116
49,3,5,34
729,7,2,0
592,5,0,0
187,1,4,4
133,1,5,74
335,3,2,16
571,5,6,135
407,3,7,89
581,7,5,27
480,2,1,0
209,6,2,0
15,2,0,0
478,4,5,146
547,6,7,9
58,1,4,72
514,1,7,0
585,1,3,10
652,3,7,51
520,6,3,15
483,5,5,50
434,7,6,8
35,6,3,34
36,2,4,149
182,1,0,0
294,7,7,9
660,3,5,31
293,5,5,25
637,7,3,0
129,7,0,0
257,2,7,44
374,6,4,7
170,4,1,0
363,5,6,50
702,5,3,22
290,6,2,0
337,7,6,33
203,1,6,45
293,1,1,19
594,4,7,291
546,1,4,25
133,1,0,0
420,4,1,0
619,7,4,28
255,5,7,44
429,1,5,87
106,0,6,4
10,5,3,5
246,4,4,9
243,7,2,5
581,3,2,44
425,7,2,0
678,2,1,0
265,6,4,0
547,5,3,9
1,4,4,0
635,3,0,0
163,3,6,2170
544,0,5,95
55,1,3,6
281,4,6,23
269,0,3,9
515,4,5,0
237,5,2,0
64,6,6,19
625,4,1,11
587,6,7,0
697,1,2,134
345,4,2,0
361,7,2,0
240,3,3,50
295,6,6,15
442,1,4,8
658,4,1,0
342,3,4,6
17,3,7,63
310,1,7,34
10,1,2,352
594,3,6,298
14,3,1,19
268,6,2,0
385,6,5,11
252,2,6,31
213,5,5,85
343,6,0,0
407,5,7,23
645,3,3,60
443,5,6,0
164,6,1,0
330,5,1,0
640,3,6,49
377,6,2,0
37,6,3,9
495,1,4,131
418,0,0,0
279,5,7,18
353,5,3,17
288,7,0,0
97,0,5,63
690,7,4,0
695,7,7,0
379,5,1,11
341,3,2,10
564,3,7,10
189,5,1,0
306,0,6,128
405,6,3,0
610,2,1,0
493,2,0,0
5,7,2,0
309,0,5,128
719,2,3,303
278,6,6,18
392,3,2,0
564,5,3,16
490,7,3,0
343,2,0,0
495,0,5,153
121,0,5,39
608,2,3,28
348,2,2,6
30,7,5,0
190,7,4,0
225,0,7,5
395,3,6,7
328,6,4,0
150,0,0,0
423,5,5,70
259,1,3,67
498,3,0,14
594,2,2,44
138,5,0,11
273,4,2,0
238,4,6,47
6,4,3,0
511,3,5,15
337,7,4,6
683,1,5,12
618,3,7,36
285,5,2,5
548,3,6,528
582,7,2,0
317,3,2,0
74,7,4,4
486,6,5,0
171,1,7,0
2,1,4,3
659,5,7,0
668,2,0,0
393,4,4,0
177,2,4,0
623,4,5,103
351,7,3,0
707,1,3,99
613,1,5,46
391,2,2,0
471,1,4,96
326,7,3,0
127,5,3,4
202,5,1,0
486,6,1,0
214,0,5,93
637,5,4,0
643,5,2,108
43,2,0,9
555,1,5,152
421,5,1,19
538,5,7,0
274,4,7,0
78,0,4,0
234,1,4,8
39,2,1,0
329,6,0,0
422,5,4,51
334,7,3,0
330,4,6,119
162,3,2,14
558,2,7,58
369,3,7,0
630,3,6,116
249,6,7,0
629,3,5,86
475,0,0,0
250,5,2,0
394,4,4,0
161,1,5,535
223,6,7,13
493,7,2,0
270,2,3,5
694,1,2,128
711,1,6,0
36,0,0,11
5,2,0,0
201,3,1,0
96,0,1,6
498,0,4,159
434,6,5,66
568,6,4,32
227,5,7,0
127,4,5,7
159,5,5,215
675,5,7,41
546,5,1,9
409,7,5,7
372,3,7,17
674,1,4,66
722,2,5,613
543,6,3,15
149,0,4,0
133,6,7,42
704,3,4,91
285,4,3,47
595,1,6,230
676,5,2,0
183,3,1,15
130,7,0,0
141,0,2,42
720,5,4,95
265,2,2,9
664,2,0,0
404,4,6,142
490,1,2,14
35,0,3,221
337,1,3,81
407,4,6,380
4,4,2,0
308,5,3,6
99,3,0,4
273,6,2,0
495,5,1,0
274,0,7,5
125,2,3,4
599,0,6,220
158,2,0,0
240,4,4,31
307,7,2,0
143,5,2,13
353,4,0,6
124,4,2,0
169,5,4,7
430,5,4,39
517,0,2,38
525,0,3,99
294,4,1,0
72,0,6,26
517,6,6,61
196,6,2,0
457,3,5,146
592,5,6,71
44,7,6,9
366,1,1,0
189,3,4,7
331,0,7,113
21,6,0,0
671,5,7,165
71,3,1,6
459,1,7,34
158,2,1,11
707,0,0,35
419,3,3,0
298,6,7,0
507,2,6,205
293,3,5,64
232,4,7,16
155,3,0,11
56,4,5,54
277,0,1,0
664,4,5,153
164,0,6,2213
416,3,3,7
31,2,6,3
187,4,1,7
724,3,1,36
517,1,7,167
674,6,1,0
205,3,4,113
112,5,6,29
363,0,1,28
339,0,6,75
494,2,2,100
604,7,7,28
428,5,3,24
210,7,4,28
619,1,3,64
466,1,4,13
320,3,5,20
588,1,1,0
40,6,0,0
235,4,0,0
143,6,3,4
630,5,2,0
301,3,7,40
714,0,7,35
453,2,4,86
137,3,0,4
132,6,1,4
230,1,0,0
30,6,5,0
414,7,5,0
330,6,6,0
621,5,0,0
700,3,6,2438
423,1,3,101
13,2,5,123
16,2,5,213
325,3,1,42
433,0,5,152
550,3,2,15
310,1,4,30
728,2,3,744
139,3,6,1024
728,1,0,45
244,5,0,0
243,2,6,17
579,2,2,54
322,3,4,0
107,7,4,0
447,6,4,8
429,5,0,0
94,6,4,6
207,7,5,5
304,4,5,58
187,3,7,53
687,7,6,0
154,1,7,121
94,1,3,152
34,1,4,249
547,7,1,0
331,5,3,10
44,2,2,23
676,4,3,66
397,0,2,78
141,0,1,0
671,3,2,31
729,0,2,82
346,1,7,0
610,5,3,0
272,6,7,0
80,4,3,6
48,7,2,0
307,5,2,6
437,0,6,45
225,3,2,5
459,4,6,21
514,6,3,0
184,7,0,0
289,4,5,83
659,4,4,20
346,4,4,0
285,3,4,41
19,0,6,1201
443,1,6,8
306,0,4,55
655,2,2,0
132,7,4,0
237,1,2,34
140,6,7,0
224,0,1,0
356,3,1,17
506,3,5,395
458,4,3,111
414,0,6,12
254,4,2,0
208,0,0,12
725,6,3,82
572,7,3,16
506,0,6,295
674,2,7,173
56,1,6,6
442,6,2,0
274,4,6,5
645,0,3,116
515,0,3,0
405,6,0,0
611,5,0,0
600,7,3,0
699,0,3,246
317,6,4,6
280,2,4,14
298,6,0,0
482,2,5,203
568,7,1,0
200,1,4,5
552,4,5,519
480,6,0,0
469,3,2,42
528,4,0,0
69,1,6,1180
652,2,2,12
489,4,4,0
380,5,2,0
537,5,5,0
326,6,1,0
690,1,7,0
517,7,6,9
605,1,3,121
427,3,7,39
258,7,2,0
684,5,3,0
676,6,1,0
42,1,5,1084
106,5,0,0
367,2,6,11
540,3,0,0
606,1,2,57
275,0,7,5
652,3,2,31
118,2,0,4
579,2,6,264
661,5,7,12
295,0,7,6
58,6,3,3
329,3,5,113
518,1,0,0
454,2,4,99
298,7,0,0
609,6,4,0
507,1,0,0
496,4,7,100
470,6,4,0
351,2,6,189
251,5,4,17
209,3,3,93
293,1,2,9
566,6,2,0
383,5,1,7
567,7,6,0
437,2,1,0
194,1,3,28
471,6,7,90
181,6,0,0
269,1,5,29
372,7,1,0
26,7,7,0
554,0,3,94
84,3,2,57
385,7,4,23
652,2,1,12
483,0,5,59
593,1,2,88
441,4,4,0
687,2,4,0
723,2,1,0
685,6,7,0
67,6,2,0
665,5,6,51
685,2,7,161
387,3,4,18
154,2,0,0
420,2,3,24
652,5,6,12
207,6,2,0
89,5,4,28
128,6,0,0
597,7,3,17
516,5,3,0
356,4,6,81
43,0,2,72
99,4,1,0
93,5,0,32
44,0,5,622
228,7,4,0
504,0,6,723
655,3,4,39
488,0,6,0
730,6,3,73
661,4,2,0
460,6,7,13
345,1,1,0
671,1,5,623
217,2,5,37
635,1,6,19
289,0,7,34
252,3,5,27
207,7,2,0
23,3,4,0
192,7,4,20
160,3,6,955
316,5,7,20
11,0,6,208
92,3,1,4
95,3,7,44
218,4,4,16
126,2,6,4
534,3,0,0
337,3,1,0
457,2,3,103
357,3,3,114
37,7,2,0
654,2,7,20
477,1,6,255
36,0,3,195
567,6,4,10
459,6,0,0
310,6,7,9
518,6,1,0
332,0,2,32
177,7,4,15
652,4,6,51
341,5,3,0
693,4,3,95
520,7,5,9
464,2,3,0
722,2,3,213
353,4,6,75
494,0,2,59
190,1,5,81
669,1,1,0
667,5,7,694
591,4,6,115
168,4,6,24
255,4,5,27
285,0,1,0
482,7,0,0
415,0,4,24
640,3,7,49
307,4,0,0
442,3,5,13
361,3,1,0
576,0,6,616
488,6,5,0
292,6,1,0
245,0,5,9
89,5,0,4
51,0,4,0
281,4,7,47
560,6,7,0
687,5,1,0
681,4,2,0
119,2,0,0
223,6,4,0
118,6,3,4
402,6,5,11
729,5,0,0
50,6,5,9
401,6,2,0
598,0,7,203
682,7,4,0
245,1,3,0
147,5,4,7
721,4,1,236
517,2,3,76
148,2,4,4
286,6,6,14
416,6,4,0
60,0,4,135
35,7,7,9
618,5,5,46
212,7,4,0
651,6,4,0
406,0,0,18
263,6,7,14
365,3,0,0
216,5,2,0
0,0,1,0
222,4,0,0
417,6,5,7
275,6,5,38
85,4,6,89
317,6,6,0
458,0,5,61
122,0,3,4
358,5,5,195
457,5,3,8
107,3,1,6
364,0,6,120
10,6,4,0
584,4,2,0
205,0,1,5
643,4,7,127
311,0,4,181
175,3,0,0
565,1,7,194
120,2,6,35
643,0,3,60
395,7,4,0
154,1,6,73
684,6,1,0
657,2,5,0
707,6,3,0
404,2,1,7
363,7,3,7
88,0,2,44
566,1,4,94
420,2,6,39
155,2,3,139
364,2,7,50
386,5,1,0
129,5,2,0
429,6,2,7
633,2,4,11
399,2,3,309
55,6,6,0
381,4,6,220
316,0,1,6
623,7,0,0
585,6,5,17
719,6,2,0
371,7,5,0
364,5,6,0
419,0,5,0
180,5,4,4
495,6,1,0
